General Identifier,Category Code,Category Description,Textile Description, Structure and Construction,Composition,Mass/Weight in g/m2,Thickness,Clo Bending WEFT Contact Distance mm ,Clo Bending WEFT Contact Length mm ,Clo Bending WARP Contact distance mm,Clo Bending WARP Contact Length mm ,Clo Bending BIAS Contact distance mm ,Clo Bending BIAS Contact Length mm ,Clo Stretch-elongation WEFT 1  Length,Clo Stretch-elongation WEFT 1 Force,Clo Stretch-elongation WEFT 2 Length,Clo Stretch-elongation WEFT 2  Force,Clo Stretch-elongation WEFT 3 Length,Clo Stretch-elongation WEFT 3 Force,Clo Stretch-elongation WEFT 4 Length,Clo Stretch-elongation WEFT 4 Force,Clo Stretch-elongation WEFT 5 Length ,Clo Stretch-elongation WEFT 5 Force,Clo Stretch-elongation WARP 1  Length mm,Clo Stretch-elongation WARP 1 Force,Clo Stretch-elongation WARP 2 Length mm,Clo Stretch-elongation WARP 2  Force,Clo Stretch-elongation WARP3 Length mm,Clo Stretch-elongationWARP 3 Force,Clo Stretch-elongation WARP 4 Length mm,Clo Stretch-elongation WARP 4 Force,Clo Stretch-elongation WARP 5 Length mm,Clo Stretch-elongation WARP 5 Force,Clo Shear BIAS 1  Length in mm,Clo Shear BIAS 1  Force,Clo Shear BIAS 2 Length mm,Clo  Shear BIAS 2  Force,Clo  Shear BIAS 3 Length mm,Clo  Shear BIAS 3 Force,Clo  Shear BIAS 4 Length mm,Clo  Shear BIAS 4 Force,Clo  Shear BIAS 5 Length mm,Clo  Shear BIAS 5 Force
21F00013,A1,Sheer - Fragile,Silk Organza,Woven,100% SE,  21 g/m2,0.11,40.66666667,47.91666667,43.33333333,50.58333333,37.16666667,45.25,1,0.097,2,0.448666667,3,0.712,4,0.955,5,1.143333333,1,0.112666667,2,0.637666667,3,1.081,4,1.289333333,5,1.371333333,20,0.01,30,0.029666667,40,0.084333333,50,0.232,60,0.881333333
21F00015,A2,Sheer - Fragile,Silk Pong‚,Woven,100% SE,  36 g/m2,0.08,31,38.66666667,20.58333333,33.66666667,16.25,30.33333333,1,0.069333333,2,0.166333333,3,0.340666667,4,0.557,5,0.832333333,1,0.093333333,2,0.486,3,0.959666667,4,1.359,5,1.666666667,17,0.01,27,0.037666667,37,0.103333333,47,0.265,57,0.816
21F00012,B1,Ladies blouses,Cotton Satin-unbleached,Woven,100% CO,112 g/m2,0.22,25.75,36.41666667,14.5,29.33333333,22.08333333,33.58333333,1,0.129333333,2,0.474333333,3,0.951666667,4,1.406666667,5,1.873333333,1,0.063,2,0.126666667,3,0.213666667,4,0.318666667,5,0.453333333,5.5,0.01,15.5,0.048333333,25.5,0.121,35.5,0.264,45.5,0.644333333
21F00018,B2,Ladies blouses,Poplin / Organic,Woven,100% CO,120 g/m2,0.009,18.25,31.08333333,28.5,38.33333333,23,34.5,1,0.041333333,2,0.072666667,3,0.105333333,4,0.143,5,0.185333333,1,0.916666667,2,0.244333333,3,0.436666667,4,0.752,5,1.141333333,1,0.01,2,0.014333333,3,0.020333333,4,0.025333333,5,0.032666667
21F00035,C1,Sweaters,Winter sweat,Knit,"  70% CO, 30% PES",295 g/m2,1.25,33.33333333,42.83333333,27.33333333,37.16666667,26.83333333,37.5,1,0.011,2,0.022666667,3,0.039,4,0.061,5,0.087,2.333333333,0.01,3.333333333,0.014333333,4.333333333,0.019333333,5.333333333,0.027,6.333333333,0.035333333,5,0.01,6,0.013666667,7,0.017333333,8,0.021666667,9,0.026333333
21F00036,C2,Sweaters,French Terry,Knit,"  95% CO,  5% EA",280 g/m2,0.81,28.33333333,37.33333333,14.83333333,30.66666667,19.83333333,32.625,1,0.010333333,11,0.057666667,21,0.127666667,31,0.228333333,41,0.378333333,1,0.010333333,11,0.03,21,0.05,31,0.078,41,0.103333333,1,0.010666667,11,0.027666667,21,0.051666667,31,0.085666667,41,0.118
22F00001,D1,Suiting,Slightly felted wool,Woven,100% WO,279 g/m2,0.78,25,35.33333333,28.75,38,25.41666667,35.91666667,1.166666667,0.011333333,2.166666667,0.028333333,2.833333333,0.046666667,4.166666667,0.070666667,5.166666667,0.089666667,1,0.012333333,2,0.048666667,3,0.086666667,4,0.128,5,0.192333333,2,0.011666667,12,0.121333333,22,0.27,32,0.491333333,42,0.767
22F00002,D2,Suiting,Wool (CK),Woven,"Wo (warp), PES, CV, EL (Weft)",198 g/m2,0.42,15.33333333,29,18.33333333,31.08333333,15.83333333,29.58333333,1.833333333,0.010333333,2.833333333,0.016,3.833333333,0.020666667,4.833333333,0.026,5.833333333,0.031666667,1,0.049666667,2,0.132333333,3,0.277,4,0.493666667,5,0.887,5,0.01,15,0.035,25,0.088333333,35,0.150333333,45,0.266333333
21F00020,E1,Jeans / sportive,Heavy Twill/White denim,Woven,100% CO,381 g/m2,0.61,43.91666667,50.75,53,58.58333333,44.16666667,51.33333333,1,0.114,2,0.214666667,3,0.308666667,4,0.388,5,0.51,0.701333333,0.110666667,1.411666667,0.219333333,2.105,0.303666667,2.81,0.41,3.518333333,0.511666667,1,0.072666667,2,0.107,3,0.150333333,4,0.190333333,5,0.233
22F00000,E2,Jeans / sportive,Raw Denim,Woven,100% CO,470 g/m2,0.93,33.33333333,41.75,46.83333333,53.83333333,41.33333333,48.66666667,1,0.086666667,2,0.159,3,0.266333333,4,0.38,5,0.525,1,0.054333333,2,0.099333333,3,0.146333333,4,0.192333333,5,0.243666667,1,0.012,11,0.153333333,21,0.388666667,31,0.800333333,41,1.303333333
